school_name,city,state,website
cabarrus early college of technology,concord,north carolina,cabarrus.k12.nc.us
perry career academy eula wilburn ponds perry center for,jonesboro,georgia,http://312.clayton.k12.ga.us/
nashville comm high school,nashville,illinois,http://64.83.243.36/nashville/high/index.htm
edon high school,edon,ohio,http://EDON-NW.ORG
explore knowledge academy j senior high school,las vegas,nevada,http://EKACADEMY.ORG
world journalism preparatory a college board school,queens,new york,http://World Journalism Preparatory: A College Board School
achievable dream middlehigh school,newport news,virginia,http://achievabledream.nn.k12.va.us/
adna middlehigh school,chehalis,washington,http://adnamiddlehighschool.weebly.com/
alleghany high school,covington,virginia,http://ahs.alleghany.k12.va.us/
alamofordo high,alamogordo,new mexico,http://ahs.aps4kids.org/
alamogordo high,alamogordo,new mexico,http://ahs.aps4kids.org/
ashland high school,ashland,massachusetts,http://ahs.ashland.k12.ma.us/staff-directory
astoria senior high school,astoria,oregon,http://ahs.astoria.k12.or.us/
alta high,sandy,utah,http://ahs.canyonsdistrict.org/
albia high school,albia,iowa,http://albiacsd.org/
alpha cindy avitia high school,san jose,california,http://alphapublicschools.org/
alsea high school,alsea,oregon,http://alsea.k12.or.us/
animas high school,durango,colorado,http://animashighschool.com/
dixie county high school,cross city,florida,http://aplusweb.dixie.k12.fl.us/~dchs@dixie.k12.fl.us/
arthur and polly mays conservatory of the arts,goulds,florida,http://apmays.dadeschools.net/
badger high school,kinsman,ohio,http://badgerbraves.org/?page_id=32
bellwood antis high school,bellwood,pennsylvania,http://bahs.ss9.sharpschool.com/
jefferson forest high,forest,virginia,http://bedfordjfhs.sharpschool.net/
beehive science and technology academy,sandy,utah,http://beehiveacademy.org
broadway high,broadway,virginia,http://bhs.rockingham.k12.va.us/
broadway high school,broadway,virginia,http://bhs.rockingham.k12.va.us/
blackduck secondary,blackduck,minnesota,http://blackduck.k12.mn.us/high-school.html
appalachian school,oneonta,alabama,http://blcsas.ss19.sharpschool.com
cleveland high school,cleveland,alabama,http://blcschs.ss19.sharpschool.com
gateways high school,springfield,oregon,http://blog.springfield.k12.or.us/gatewayshighschool/
battle mountain high school,battle mountain,nevada,http://bmhs.lander.k12.nv.us/
romney middle school,romney,west virginia,http://boe.hamp.k12.wv.us/65/Romney-Middle-School-RMS
bolivar high,bolivar,michigan,http://bolivarschoolsbhs.ss18.sharpschool.com/
bonneville high school,ogden,utah,http://bonneville.wsd.net/index.php/en/
boone high school,boone,iowa,http://boone.k12.ia.us/schools/high_school/
bowen high school,chicago,illinois,http://bowen.cps.edu/
brindlee mountain high school,guntersville,alabama,http://brindleemountainhigh.marshallk12.org/
bronx latin school,bronx,new york,http://bronxlatin.com/
jonata middle,buellton,california,http://buelltonjms.sharpschool.net/
brattleboro union high school,brattleboro,vermont,http://buhs.wsesdvt.org/
jimmy c draughn high school,valdese,north carolina,http://burkedhs.ss14.sharpschool.com/
calexico mission school,calexico,california,http://calexicomissionschool.com/
carbon career and technical institute,jim thorpe,pennsylvania,http://carboncti.org/
cazenovia middle school,cazenovia,new york,http://cazenoviacsd.com/
crested butte community school,crested butte,colorado,http://cbcs.gunnisonschools.net/
benedictine high school,cleveland,ohio,http://cbhs.net
creative connections arts academy,north highlands,california,http://ccaa.twinriversusd.org/
